MASTER_GUEST_ID,total_transactions,total_spend_usd,avg_discount_pct,top_category,top_channel,top_market,top_coupon,last_txn_date,days_since_last_txn,persona_sentence,TXN_DATE,MASTER_ORDER_ORIGIN,SELLING_MARKET,item_list,email_intent,email_prompt,email_generated,subject_line,email_body,email_html
e925a7fa-4c8f-4e75-8e0d-832e34f311e4,1,246.52,0.0,Accessories,ECOM,SG,CYBER15,2024-07-05 03:44:56.990734,315,"occasional ecom shopper from SG focused on Accessories, a mid-level spender and full-price shopper, lapsed guest who frequently uses promo codes like CYBER15, with last purchase 315 days ago.",2024-07-05,ECOM,SG,['Accessories'],thank_you,"You are an email copywriter for a global retail brand.

Write a personalized thank-you email with a subject line and email body for the following customer:

occasional ecom shopper from SG focused on Accessories, a mid-level spender and full-price shopper, lapsed guest who frequently uses promo codes like CYBER15, with last purchase 315 days ago.

They recently purchased the following items on 2024-07-05 via ECOM from the SG market:
Accessories

Tone should be warm and grateful, and the email should optionally suggest related items in the same category.","Subject Line: A Big Thank You for Your Recent Purchase!

Dear [Customer Name],

I hope this email finds you well! I wanted to take a moment to thank you for your recent purchase from our ECOM store in Singapore. We are thrilled to have you as a customer, and we appreciate your business.

We noticed that you have a particular interest in accessories, and we wanted to let you know that we have a wide selection of high-quality and stylish accessories available. From jewelry to bags to watches, we have something for everyone. If you're looking for something specific, please don't hesitate to let us know. We'd be happy to help you find exactly what you're looking for.

As a mid-level spender and full-price shopper, we appreciate your willingness to invest in quality products. We hope that you enjoy your purchases and that they bring you joy and satisfaction.",Subject Line: A Big Thank You for Your Recent Purchase!,"Dear [Customer Name],

I hope this email finds you well! I wanted to take a moment to thank you for your recent purchase from our ECOM store in Singapore. We are thrilled to have you as a customer, and we appreciate your business.

We noticed that you have a particular interest in accessories, and we wanted to let you know that we have a wide selection of high-quality and stylish accessories available. From jewelry to bags to watches, we have something for everyone. If you're looking for something specific, please don't hesitate to let us know. We'd be happy to help you find exactly what you're looking for.

As a mid-level spender and full-price shopper, we appreciate your willingness to invest in quality products. We hope that you enjoy your purchases and that they bring you joy and satisfaction.","<h3>Subject Line: A Big Thank You for Your Recent Purchase!</h3><p>Dear [Customer Name],<br><br>I hope this email finds you well! I wanted to take a moment to thank you for your recent purchase from our ECOM store in Singapore. We are thrilled to have you as a customer, and we appreciate your business.<br><br>We noticed that you have a particular interest in accessories, and we wanted to let you know that we have a wide selection of high-quality and stylish accessories available. From jewelry to bags to watches, we have something for everyone. If you're looking for something specific, please don't hesitate to let us know. We'd be happy to help you find exactly what you're looking for.<br><br>As a mid-level spender and full-price shopper, we appreciate your willingness to invest in quality products. We hope that you enjoy your purchases and that they bring you joy and satisfaction.</p>"
1885c001-1354-4f23-a367-5f68c664c510,1,42.98,20.0,Training,ECOM,IN,,2024-05-21 19:38:50.912409,360,"occasional ecom shopper from IN focused on Training, a low spender and deal-seeker, lapsed guest who rarely uses promotions, with last purchase 360 days ago.",2024-05-21,ECOM,IN,['Training'],thank_you,"You are an email copywriter for a global retail brand.

Write a personalized thank-you email with a subject line and email body for the following customer:

occasional ecom shopper from IN focused on Training, a low spender and deal-seeker, lapsed guest who rarely uses promotions, with last purchase 360 days ago.

They recently purchased the following items on 2024-05-21 via ECOM from the IN market:
Training

Tone should be warm and grateful, and the email should optionally suggest related items in the same category.","Subject: Thank you for your recent purchase!

Dear [Customer Name],

I wanted to take a moment to thank you for your recent purchase from our store. We're thrilled to have you as a customer and appreciate your business.

It's not every day that you make a purchase, but we're glad to see that you're still interested in what we have to offer. We hope that you're happy with your recent purchase and that it meets your needs.

We also wanted to remind you that we have a wide selection of products in the same category as Training. If you're looking for more items to help you achieve your fitness goals, we have plenty of options to choose from.

Once again, thank you for your business. We hope to see you again soon!

Best regards,

[Your Name]

Email Body:

Dear [Customer Name],

I",Thank you for your recent purchase!,"Dear [Customer Name],

I wanted to take a moment to thank you for your recent purchase from our store. We're thrilled to have you as a customer and appreciate your business.

It's not every day that you make a purchase, but we're glad to see that you're still interested in what we have to offer. We hope that you're happy with your recent purchase and that it meets your needs.

We also wanted to remind you that we have a wide selection of products in the same category as Training. If you're looking for more items to help you achieve your fitness goals, we have plenty of options to choose from.

Once again, thank you for your business. We hope to see you again soon!

Best regards,

[Your Name]

Email Body:

Dear [Customer Name],

I","<h3>Thank you for your recent purchase!</h3><p>Dear [Customer Name],<br><br>I wanted to take a moment to thank you for your recent purchase from our store. We're thrilled to have you as a customer and appreciate your business.<br><br>It's not every day that you make a purchase, but we're glad to see that you're still interested in what we have to offer. We hope that you're happy with your recent purchase and that it meets your needs.<br><br>We also wanted to remind you that we have a wide selection of products in the same category as Training. If you're looking for more items to help you achieve your fitness goals, we have plenty of options to choose from.<br><br>Once again, thank you for your business. We hope to see you again soon!<br><br>Best regards,<br><br>[Your Name]<br><br>Email Body:<br><br>Dear [Customer Name],<br><br>I</p>"
484f8617-c8fd-489d-9a28-417d6e679da1,1,60.51,0.0,Running,APP,US,WINTER20,2025-01-01 03:45:20.870587,135,"occasional app shopper from US focused on Running, a low spender and full-price shopper, lapsed guest who frequently uses promo codes like WINTER20, with last purchase 135 days ago.",2025-01-01,APP,US,['Running'],thank_you,"You are an email copywriter for a global retail brand.

Write a personalized thank-you email with a subject line and email body for the following customer:

occasional app shopper from US focused on Running, a low spender and full-price shopper, lapsed guest who frequently uses promo codes like WINTER20, with last purchase 135 days ago.

They recently purchased the following items on 2025-01-01 via APP from the US market:
Running

Tone should be warm and grateful, and the email should optionally suggest related items in the same category.","Email subject: ""Thank you for your recent purchase""

Dear [First Name],

We hope this email finds you well. We wanted to take a moment to personally thank you for your recent purchase on our app. We are thrilled that you chose us for your running needs.

We noticed that you are a casual app shopper from the US, and we appreciate your business. We hope that this purchase will inspire you to explore more of our products in the future.

As a full-price shopper, we understand that every purchase is an investment in our brand, and we are grateful for your loyalty. We hope to continue serving you in the future.

We also noticed that you have been using promo codes like WINTER20, which is great! We hope that you continue to take advantage of these offers in the future.

It's been 135 days since your last purchase on our app. We","Email subject: ""Thank you for your recent purchase""","Dear [First Name],

We hope this email finds you well. We wanted to take a moment to personally thank you for your recent purchase on our app. We are thrilled that you chose us for your running needs.

We noticed that you are a casual app shopper from the US, and we appreciate your business. We hope that this purchase will inspire you to explore more of our products in the future.

As a full-price shopper, we understand that every purchase is an investment in our brand, and we are grateful for your loyalty. We hope to continue serving you in the future.

We also noticed that you have been using promo codes like WINTER20, which is great! We hope that you continue to take advantage of these offers in the future.

It's been 135 days since your last purchase on our app. We","<h3>Email subject: ""Thank you for your recent purchase""</h3><p>Dear [First Name],<br><br>We hope this email finds you well. We wanted to take a moment to personally thank you for your recent purchase on our app. We are thrilled that you chose us for your running needs.<br><br>We noticed that you are a casual app shopper from the US, and we appreciate your business. We hope that this purchase will inspire you to explore more of our products in the future.<br><br>As a full-price shopper, we understand that every purchase is an investment in our brand, and we are grateful for your loyalty. We hope to continue serving you in the future.<br><br>We also noticed that you have been using promo codes like WINTER20, which is great! We hope that you continue to take advantage of these offers in the future.<br><br>It's been 135 days since your last purchase on our app. We</p>"
aa85fd4f-63a2-4b91-bf32-ff736880f154,1,359.67,0.0,Running,APP,SG,,2024-12-09 16:39:34.890190,158,"occasional app shopper from SG focused on Running, a mid-level spender and full-price shopper, lapsed guest who rarely uses promotions, with last purchase 158 days ago.",2024-12-09,APP,SG,['Running'],thank_you,"You are an email copywriter for a global retail brand.

Write a personalized thank-you email with a subject line and email body for the following customer:

occasional app shopper from SG focused on Running, a mid-level spender and full-price shopper, lapsed guest who rarely uses promotions, with last purchase 158 days ago.

They recently purchased the following items on 2024-12-09 via APP from the SG market:
Running

Tone should be warm and grateful, and the email should optionally suggest related items in the same category.","Subject Line: A Heartfelt Thank You for Your Recent Purchase

Dear [Customer Name],

We wanted to take a moment to personally thank you for your recent purchase of [Running] on December 9th, 2024 from our APP market in SG. We are glad that you have chosen our brand and we hope that your experience shopping with us was enjoyable.

We appreciate your support and are always looking for ways to improve our offerings to better meet the needs of our customers. We noticed that you are a mid-level spender and full-price shopper, which means that you value quality and are willing to pay a fair price for what you need. We are glad that you trust our brand and we hope to continue serving you in the future.

We also noticed that you have been a lapsed guest who rarely uses promotions. We wanted to remind you that we offer a variety of promotions throughout",Subject Line: A Heartfelt Thank You for Your Recent Purchase,"Dear [Customer Name],

We wanted to take a moment to personally thank you for your recent purchase of [Running] on December 9th, 2024 from our APP market in SG. We are glad that you have chosen our brand and we hope that your experience shopping with us was enjoyable.

We appreciate your support and are always looking for ways to improve our offerings to better meet the needs of our customers. We noticed that you are a mid-level spender and full-price shopper, which means that you value quality and are willing to pay a fair price for what you need. We are glad that you trust our brand and we hope to continue serving you in the future.

We also noticed that you have been a lapsed guest who rarely uses promotions. We wanted to remind you that we offer a variety of promotions throughout","<h3>Subject Line: A Heartfelt Thank You for Your Recent Purchase</h3><p>Dear [Customer Name],<br><br>We wanted to take a moment to personally thank you for your recent purchase of [Running] on December 9th, 2024 from our APP market in SG. We are glad that you have chosen our brand and we hope that your experience shopping with us was enjoyable.<br><br>We appreciate your support and are always looking for ways to improve our offerings to better meet the needs of our customers. We noticed that you are a mid-level spender and full-price shopper, which means that you value quality and are willing to pay a fair price for what you need. We are glad that you trust our brand and we hope to continue serving you in the future.<br><br>We also noticed that you have been a lapsed guest who rarely uses promotions. We wanted to remind you that we offer a variety of promotions throughout</p>"
125dee5b-7146-4797-912e-1253d5c7fd22,1,246.54,0.0,Yoga,APP,DE,BLACKFRIDAY,2024-10-05 09:00:49.039769,223,"occasional app shopper from DE focused on Yoga, a mid-level spender and full-price shopper, lapsed guest who frequently uses promo codes like BLACKFRIDAY, with last purchase 223 days ago.",2024-10-05,APP,DE,['Yoga'],thank_you,"You are an email copywriter for a global retail brand.

Write a personalized thank-you email with a subject line and email body for the following customer:

occasional app shopper from DE focused on Yoga, a mid-level spender and full-price shopper, lapsed guest who frequently uses promo codes like BLACKFRIDAY, with last purchase 223 days ago.

They recently purchased the following items on 2024-10-05 via APP from the DE market:
Yoga

Tone should be warm and grateful, and the email should optionally suggest related items in the same category.","Subject Line: Thank you for your recent purchase

Dear [Customer Name],

I hope this email finds you well. We wanted to take a moment to thank you for your recent purchase of [Yoga] on our app on October 5th, 2024. We appreciate your business and are thrilled to have you as a customer in the DE market.

As an occasional app shopper, we understand that you may not always have time to browse our website or visit our stores. But we hope that you find our app a convenient and easy way to shop for your favorite items. We're glad to see that you're interested in Yoga, and we hope to offer you more options in that category soon.

We also noticed that you're a full-price shopper, which means you value the quality and value of our products. We're grateful for your loyalty and are always striving to provide you",Subject Line: Thank you for your recent purchase,"Dear [Customer Name],

I hope this email finds you well. We wanted to take a moment to thank you for your recent purchase of [Yoga] on our app on October 5th, 2024. We appreciate your business and are thrilled to have you as a customer in the DE market.

As an occasional app shopper, we understand that you may not always have time to browse our website or visit our stores. But we hope that you find our app a convenient and easy way to shop for your favorite items. We're glad to see that you're interested in Yoga, and we hope to offer you more options in that category soon.

We also noticed that you're a full-price shopper, which means you value the quality and value of our products. We're grateful for your loyalty and are always striving to provide you","<h3>Subject Line: Thank you for your recent purchase</h3><p>Dear [Customer Name],<br><br>I hope this email finds you well. We wanted to take a moment to thank you for your recent purchase of [Yoga] on our app on October 5th, 2024. We appreciate your business and are thrilled to have you as a customer in the DE market.<br><br>As an occasional app shopper, we understand that you may not always have time to browse our website or visit our stores. But we hope that you find our app a convenient and easy way to shop for your favorite items. We're glad to see that you're interested in Yoga, and we hope to offer you more options in that category soon.<br><br>We also noticed that you're a full-price shopper, which means you value the quality and value of our products. We're grateful for your loyalty and are always striving to provide you</p>"
6cf5d2fb-0ac6-4b4a-9819-e80810eeb029,1,61.92,0.0,Training,ECOM,US,,2025-04-29 02:28:01.084613,17,"occasional ecom shopper from US focused on Training, a low spender and full-price shopper, recent guest who rarely uses promotions, with last purchase 17 days ago.",2025-04-29,ECOM,US,['Training'],thank_you,"You are an email copywriter for a global retail brand.

Write a personalized thank-you email with a subject line and email body for the following customer:

occasional ecom shopper from US focused on Training, a low spender and full-price shopper, recent guest who rarely uses promotions, with last purchase 17 days ago.

They recently purchased the following items on 2025-04-29 via ECOM from the US market:
Training

Tone should be warm and grateful, and the email should optionally suggest related items in the same category.","Subject: Thank you for your recent purchase at [Product Name]

Dear [Name],

Thank you for your recent purchase of Training from our online store! We are thrilled to have you as a customer and we appreciate your business.

We noticed that you are a full-price shopper who rarely uses promotions, and we understand that you have high standards when it comes to quality products. We hope that your recent purchase has met your expectations and that you have enjoyed using it.

If you are interested in exploring more products in the same category, we would like to recommend [related item 1] and [related item 2]. We believe that these items will complement your recent purchase and enhance your overall shopping experience.

We value your loyalty and look forward to serving you again in the future. If you have any questions or need assistance with your order, please do not hesitate to contact our customer service team.

Thank you",Thank you for your recent purchase at [Product Name],"Dear [Name],

Thank you for your recent purchase of Training from our online store! We are thrilled to have you as a customer and we appreciate your business.

We noticed that you are a full-price shopper who rarely uses promotions, and we understand that you have high standards when it comes to quality products. We hope that your recent purchase has met your expectations and that you have enjoyed using it.

If you are interested in exploring more products in the same category, we would like to recommend [related item 1] and [related item 2]. We believe that these items will complement your recent purchase and enhance your overall shopping experience.

We value your loyalty and look forward to serving you again in the future. If you have any questions or need assistance with your order, please do not hesitate to contact our customer service team.

Thank you","<h3>Thank you for your recent purchase at [Product Name]</h3><p>Dear [Name],<br><br>Thank you for your recent purchase of Training from our online store! We are thrilled to have you as a customer and we appreciate your business.<br><br>We noticed that you are a full-price shopper who rarely uses promotions, and we understand that you have high standards when it comes to quality products. We hope that your recent purchase has met your expectations and that you have enjoyed using it.<br><br>If you are interested in exploring more products in the same category, we would like to recommend [related item 1] and [related item 2]. We believe that these items will complement your recent purchase and enhance your overall shopping experience.<br><br>We value your loyalty and look forward to serving you again in the future. If you have any questions or need assistance with your order, please do not hesitate to contact our customer service team.<br><br>Thank you</p>"
5d9d334d-e37d-4c75-bc5b-f7cc69465b73,1,384.78,0.0,Training,ECOM,AU,,2025-02-02 15:07:47.240829,103,"occasional ecom shopper from AU focused on Training, a mid-level spender and full-price shopper, lapsed guest who rarely uses promotions, with last purchase 103 days ago.",2025-02-02,ECOM,AU,['Training'],thank_you,"You are an email copywriter for a global retail brand.

Write a personalized thank-you email with a subject line and email body for the following customer:

occasional ecom shopper from AU focused on Training, a mid-level spender and full-price shopper, lapsed guest who rarely uses promotions, with last purchase 103 days ago.

They recently purchased the following items on 2025-02-02 via ECOM from the AU market:
Training

Tone should be warm and grateful, and the email should optionally suggest related items in the same category.","Subject Line: Thank you for your recent purchase, [Customer Name]!

Dear [Customer Name],

I hope this email finds you well! I wanted to take a moment to thank you for your recent purchase at [Retail Brand].

We appreciate your business and are glad to see that you have returned to our store to shop for training. We understand that you may have lapsed as a guest and rarely use promotions, but we are glad to see that you have spent mid-level and full-price, which is a testament to your loyalty to our brand.

We hope you are satisfied with your recent purchase of [Training], and we would like to suggest some related items in the same category that you may find interesting. We have a range of products that can help you optimize your training regimen and achieve your goals.

Thank you again for choosing [Retail Brand]. We look forward to your next visit and","Subject Line: Thank you for your recent purchase, [Customer Name]!","Dear [Customer Name],

I hope this email finds you well! I wanted to take a moment to thank you for your recent purchase at [Retail Brand].

We appreciate your business and are glad to see that you have returned to our store to shop for training. We understand that you may have lapsed as a guest and rarely use promotions, but we are glad to see that you have spent mid-level and full-price, which is a testament to your loyalty to our brand.

We hope you are satisfied with your recent purchase of [Training], and we would like to suggest some related items in the same category that you may find interesting. We have a range of products that can help you optimize your training regimen and achieve your goals.

Thank you again for choosing [Retail Brand]. We look forward to your next visit and","<h3>Subject Line: Thank you for your recent purchase, [Customer Name]!</h3><p>Dear [Customer Name],<br><br>I hope this email finds you well! I wanted to take a moment to thank you for your recent purchase at [Retail Brand].<br><br>We appreciate your business and are glad to see that you have returned to our store to shop for training. We understand that you may have lapsed as a guest and rarely use promotions, but we are glad to see that you have spent mid-level and full-price, which is a testament to your loyalty to our brand.<br><br>We hope you are satisfied with your recent purchase of [Training], and we would like to suggest some related items in the same category that you may find interesting. We have a range of products that can help you optimize your training regimen and achieve your goals.<br><br>Thank you again for choosing [Retail Brand]. We look forward to your next visit and</p>"
a92f280c-efa3-4de0-8a08-05b1a0754157,1,388.83,0.0,Footwear,APP,HK,,2024-06-11 14:54:45.792403,339,"occasional app shopper from HK focused on Footwear, a mid-level spender and full-price shopper, lapsed guest who rarely uses promotions, with last purchase 339 days ago.",2024-06-11,APP,HK,['Footwear'],thank_you,"You are an email copywriter for a global retail brand.

Write a personalized thank-you email with a subject line and email body for the following customer:

occasional app shopper from HK focused on Footwear, a mid-level spender and full-price shopper, lapsed guest who rarely uses promotions, with last purchase 339 days ago.

They recently purchased the following items on 2024-06-11 via APP from the HK market:
Footwear

Tone should be warm and grateful, and the email should optionally suggest related items in the same category.","Subject: Thank You for Shopping with Our Brand!

Dear [NAME],

We wanted to take a moment to express our sincere gratitude for your recent purchase on our app from the Hong Kong market. We appreciate your business and are glad to have you as a part of our brand community.

As an occasional app shopper from HK, we understand that your focus is on footwear. We're thrilled to hear that you've recently purchased some great items from us. Thank you for choosing our brand for your footwear needs.

We notice that you are a full-price shopper and rarely use promotions. We appreciate your loyalty and hope that we can continue to offer you high-quality products at fair prices.

It has been 339 days since your last purchase with us. We hope that you've been enjoying your new footwear and that it has been taking you on some amazing adventures.",Thank You for Shopping with Our Brand!,"Dear [NAME],

We wanted to take a moment to express our sincere gratitude for your recent purchase on our app from the Hong Kong market. We appreciate your business and are glad to have you as a part of our brand community.

As an occasional app shopper from HK, we understand that your focus is on footwear. We're thrilled to hear that you've recently purchased some great items from us. Thank you for choosing our brand for your footwear needs.

We notice that you are a full-price shopper and rarely use promotions. We appreciate your loyalty and hope that we can continue to offer you high-quality products at fair prices.

It has been 339 days since your last purchase with us. We hope that you've been enjoying your new footwear and that it has been taking you on some amazing adventures.","<h3>Thank You for Shopping with Our Brand!</h3><p>Dear [NAME],<br><br>We wanted to take a moment to express our sincere gratitude for your recent purchase on our app from the Hong Kong market. We appreciate your business and are glad to have you as a part of our brand community.<br><br>As an occasional app shopper from HK, we understand that your focus is on footwear. We're thrilled to hear that you've recently purchased some great items from us. Thank you for choosing our brand for your footwear needs.<br><br>We notice that you are a full-price shopper and rarely use promotions. We appreciate your loyalty and hope that we can continue to offer you high-quality products at fair prices.<br><br>It has been 339 days since your last purchase with us. We hope that you've been enjoying your new footwear and that it has been taking you on some amazing adventures.</p>"
684e4be2-f969-4341-a278-e8dfa46a85d9,1,61.31,10.0,Footwear,ECOM,NL,,2025-02-06 16:29:07.464964,99,"occasional ecom shopper from NL focused on Footwear, a low spender and value-conscious, lapsed guest who rarely uses promotions, with last purchase 99 days ago.",2025-02-06,ECOM,NL,['Footwear'],thank_you,"You are an email copywriter for a global retail brand.

Write a personalized thank-you email with a subject line and email body for the following customer:

occasional ecom shopper from NL focused on Footwear, a low spender and value-conscious, lapsed guest who rarely uses promotions, with last purchase 99 days ago.

They recently purchased the following items on 2025-02-06 via ECOM from the NL market:
Footwear

Tone should be warm and grateful, and the email should optionally suggest related items in the same category.","Subject line: Thank you for your recent purchase! 

Dear [Name],

We wanted to take a moment to thank you for your recent purchase of Footwear from our online store! Your support means the world to us, and we're thrilled that you chose our brand.

We noticed that you're an occasional ecom shopper from NL and focus on Footwear. As a value-conscious and low spender, we appreciate your business and want to make sure we're providing you with the best possible shopping experience.

We hope you enjoyed your shopping experience with us and that you found what you were looking for. If you have any questions or need further assistance, please don't hesitate to reach out.

As a lapsed guest, we would like to remind you of the promotions we offer to keep you coming back. We hope you'll consider shopping with us again soon, and we look forward to",Subject line: Thank you for your recent purchase!,"Dear [Name],

We wanted to take a moment to thank you for your recent purchase of Footwear from our online store! Your support means the world to us, and we're thrilled that you chose our brand.

We noticed that you're an occasional ecom shopper from NL and focus on Footwear. As a value-conscious and low spender, we appreciate your business and want to make sure we're providing you with the best possible shopping experience.

We hope you enjoyed your shopping experience with us and that you found what you were looking for. If you have any questions or need further assistance, please don't hesitate to reach out.

As a lapsed guest, we would like to remind you of the promotions we offer to keep you coming back. We hope you'll consider shopping with us again soon, and we look forward to","<h3>Subject line: Thank you for your recent purchase!</h3><p>Dear [Name],<br><br>We wanted to take a moment to thank you for your recent purchase of Footwear from our online store! Your support means the world to us, and we're thrilled that you chose our brand.<br><br>We noticed that you're an occasional ecom shopper from NL and focus on Footwear. As a value-conscious and low spender, we appreciate your business and want to make sure we're providing you with the best possible shopping experience.<br><br>We hope you enjoyed your shopping experience with us and that you found what you were looking for. If you have any questions or need further assistance, please don't hesitate to reach out.<br><br>As a lapsed guest, we would like to remind you of the promotions we offer to keep you coming back. We hope you'll consider shopping with us again soon, and we look forward to</p>"
b855df6b-0fe3-40b9-bf31-300489cbe96e,1,121.98,0.0,Training,STORE,CA,CYBER15,2024-07-28 07:58:57.717785,292,"occasional store shopper from CA focused on Training, a low spender and full-price shopper, lapsed guest who frequently uses promo codes like CYBER15, with last purchase 292 days ago.",2024-07-28,STORE,CA,['Training'],thank_you,"You are an email copywriter for a global retail brand.

Write a personalized thank-you email with a subject line and email body for the following customer:

occasional store shopper from CA focused on Training, a low spender and full-price shopper, lapsed guest who frequently uses promo codes like CYBER15, with last purchase 292 days ago.

They recently purchased the following items on 2024-07-28 via STORE from the CA market:
Training

Tone should be warm and grateful, and the email should optionally suggest related items in the same category.","Subject: Thank you for your recent purchase!

Dear [Customer Name],

I wanted to take a moment to thank you for your recent purchase from our store. We appreciate your business and are thrilled to have you as a loyal customer.

We noticed that you're an occasional store shopper from CA focused on Training, and we wanted to let you know that we have a wide selection of related items in the same category. Whether you're looking for the latest gear, equipment, or accessories, we have something for everyone.

As a full-price shopper, we understand that you value high-quality products, and we're confident that you'll find exactly what you're looking for on our website. If you have any questions or need assistance with your purchase, please don't hesitate to contact our customer service team.

We hope to see you back in our store soon. Thank you for choosing us,",Thank you for your recent purchase!,"Dear [Customer Name],

I wanted to take a moment to thank you for your recent purchase from our store. We appreciate your business and are thrilled to have you as a loyal customer.

We noticed that you're an occasional store shopper from CA focused on Training, and we wanted to let you know that we have a wide selection of related items in the same category. Whether you're looking for the latest gear, equipment, or accessories, we have something for everyone.

As a full-price shopper, we understand that you value high-quality products, and we're confident that you'll find exactly what you're looking for on our website. If you have any questions or need assistance with your purchase, please don't hesitate to contact our customer service team.

We hope to see you back in our store soon. Thank you for choosing us,","<h3>Thank you for your recent purchase!</h3><p>Dear [Customer Name],<br><br>I wanted to take a moment to thank you for your recent purchase from our store. We appreciate your business and are thrilled to have you as a loyal customer.<br><br>We noticed that you're an occasional store shopper from CA focused on Training, and we wanted to let you know that we have a wide selection of related items in the same category. Whether you're looking for the latest gear, equipment, or accessories, we have something for everyone.<br><br>As a full-price shopper, we understand that you value high-quality products, and we're confident that you'll find exactly what you're looking for on our website. If you have any questions or need assistance with your purchase, please don't hesitate to contact our customer service team.<br><br>We hope to see you back in our store soon. Thank you for choosing us,</p>"
